지역이름	총 확진자 수	신규확진자 수	백만명 당 확진자 수	사망자 수
브라질	30,977,661	24,082	146,580	666,516
상파울루 주	5,503,518	928	124,980	169,241
미나스제라이스	3,410,610	7,460	163,429	61,549
파라나	2,523,942	1,127	227,758	43,320
히우그란지두술	2,429,472	1,255	215,255	39,528
히우지자네이루	2,189,528	5,290	133,012	73,806
산타카타리나	1,738,492	480	242,644	21,850
바이아	1,548,499	15	102,367	29,935
고이아스 주	1,369,130	1,954	209,886	26,649
세아라	1,246,305	57	140,940	27,074
이스피리투산투 주	1,053,064	364	271,056	14,409
페르남부쿠	936,810	138	100,974	21,721
파라	774,513	17	95,928	18,371
마토 그로소	732,520	442	227,183	14,633
연방 정부	708,552	2,604	데이터 없음	11,691
파라이바	605,292	248	153,476	10,220
아마소나스	582,775	4	150,442	14,174
마투그로수두술	534,115	87	203,887	10,565
리우그란데두노르테	506,376	928	148,562	8,202
마라냥	437,926	225	63,923	10,888
혼도니아 주	404,002	102	231,052	7,215
피아우이	368,086	0	115,217	7,746
세르지페	327,451	9	147,529	6,348
토칸칭스	306,163	44	204,534	4,157
알라고아스	299,233	158	90,083	6,936
아마파 주	160,423	2	213,613	2,134
로라이마	155,753	8	313,427	2,152
아크레	125,111	136	158,348	2,002
